id,user,text,image,caption,created_at,like,views,bookmarks,category,vote,tagged_text,tagged_caption,predicted_categories,anger,disgust,fear,joy,sadness,surprise,neutral
a38f15ad-b8b5-4bb0-89a5-a8f44fd4d302,6 God,,content_images/Capture.PNG,"The woman that I would try
Is happy with a good guy
But I've been hackin' so much",2025-08-26 05:19:16.592282+02,1,0,1,,0,a38f15ad-b8b5-4bb0-89a5-a8f44fd4d302: nan,"a38f15ad-b8b5-4bb0-89a5-a8f44fd4d302: The woman that I would try
Is happy with a good guy
But I've been hackin' so much",drama,0.0632939338684082,0.8924762010574341,0.033361539244651794,0.95766681432724,0.3321680724620819,0.29530999064445496,0.16734537482261658
48e1a3b8-bf01-413e-86de-6fa2010d4a71,6 God,,content_images/Capture_6ZjXVDF.PNG,"Lucky that you stayed on
I need someone to put this weight on
Fuck, I'm sorry",2025-08-26 22:39:21+02,1,0,1,,0,48e1a3b8-bf01-413e-86de-6fa2010d4a71: nan,"48e1a3b8-bf01-413e-86de-6fa2010d4a71: Lucky that you stayed on
I need someone to put this weight on
Fuck, I'm sorry",drama,0.35458865761756897,0.40567559003829956,0.03099987469613552,0.7279027104377747,0.7899404764175415,0.14509275555610657,0.08095066994428635
44e2dd66-85a4-41c3-ad2b-abe4d7484258,6 God,,content_images/https___images_kPKI5cF.genius.com_843b2b84471f4b69d44f74db192ad257.1000x1000x1.jpg,"We live in a generation of not being in love and not being together
But we sure make it feel like we're together
'Cause we're scared to see each other with somebody else",2025-08-29 15:34:43.201595+02,0,0,1,,0,44e2dd66-85a4-41c3-ad2b-abe4d7484258: nan,"44e2dd66-85a4-41c3-ad2b-abe4d7484258: We live in a generation of not being in love and not being together
But we sure make it feel like we're together
'Cause we're scared to see each other with somebody else",fantasy,0.009314836002886295,0.04705296829342842,0.9840901494026184,0.15851664543151855,0.74342280626297,0.4710512161254883,0.05883461609482765
c4ce4c7a-0212-4749-ad65-91b69d7f661f,6 God,,content_images/https___images.genius.com_843b2b84471f4b69d44f74db192ad257.1000x1000x1.jpg,"When a good thing goes bad, it's not the end of the world
It's just the end of a world that you had with one girl
And she's the reason it happened, but she's overreacting
And it's all because she don't want things to change",2025-08-29 15:33:35.46859+02,0,0,1,,0,c4ce4c7a-0212-4749-ad65-91b69d7f661f: nan,"c4ce4c7a-0212-4749-ad65-91b69d7f661f: When a good thing goes bad, it's not the end of the world
It's just the end of a world that you had with one girl
And she's the reason it happened, but she's overreacting
And it's all because she don't want things to change",tragedy,0.19757674634456635,0.39774850010871887,0.02634228579699993,0.03975915536284447,0.6701617240905762,0.7932027578353882,0.033815786242485046
0b7e90ae-628c-480a-8d26-2b5307be9ebc,6 God,,content_images/https___images.genius.com_56db93b634f5aa512f2705df1f12265a.1000x1000x1.png,"The biggest hit and second single from Kanye’s third studio album, Graduation, “Stronger” samples French electronic music duo Daft Punk’s “Harder, Better, Faster, Stronger,” which in turn samples Edwin Birdsong’s 1979 track, “Cola Bottle Baby.”",2025-08-29 15:57:36.98619+02,0,0,1,,0,0b7e90ae-628c-480a-8d26-2b5307be9ebc: nan,"0b7e90ae-628c-480a-8d26-2b5307be9ebc: The biggest hit and second single from Kanye’s third studio album, Graduation, “Stronger” samples French electronic music duo Daft Punk’s “Harder, Better, Faster, Stronger,” which in turn samples Edwin Birdsong’s 1979 track, “Cola Bottle Baby.”",historic,0.03946736827492714,0.05671992525458336,0.06888795644044876,0.24299827218055725,0.7828800082206726,0.026441281661391258,0.060575589537620544
eea928f5-0ed9-402c-90b6-2dfd3c067799,6 God,,content_images/https___images_2nTdYSB.genius.com_843b2b84471f4b69d44f74db192ad257.1000x1000x1.jpg,"So cry if you need to, but I can't stay to watch you
That's the wrong thing to do
Touch if you need to, but I can't stay to hold you
That's the wrong thing to do
Talk if you need to, but I can't stay to hear you
That's the wrong thing to do
'Cause you'll say you love me, and I'll end up lying
And say, ""I love you too""",2025-08-29 15:34:01.446477+02,0,0,0,,0,eea928f5-0ed9-402c-90b6-2dfd3c067799: nan,"eea928f5-0ed9-402c-90b6-2dfd3c067799: So cry if you need to, but I can't stay to watch you
That's the wrong thing to do
Touch if you need to, but I can't stay to hold you
That's the wrong thing to do
Talk if you need to, but I can't stay to hear you
That's the wrong thing to do
'Cause you'll say you love me, and I'll end up lying
And say, ""I love you too""",drama,0.4204021990299225,0.541950523853302,0.07726915925741196,0.6416675448417664,0.2758541703224182,0.9585198163986206,0.01597805880010128
3cae97fe-1a34-4f50-9ddd-c68b16dc9ec1,6 God,,content_images/https___images.genius.com_718de9d1fbcaae9f3c9b1bf483bfa8f1.1000x1000x1.png,"Mama, just killed a man
Put a gun against his head, pulled my trigger, now he's dead
Mama, life had just begun
But now I've gone and thrown it all away
Mama, ooh, didn't mean to make you cry
If I'm not back again this time tomorrow
Carry on, carry on as if nothing really matters",2025-08-29 15:55:03.343236+02,0,0,0,,0,3cae97fe-1a34-4f50-9ddd-c68b16dc9ec1: nan,"3cae97fe-1a34-4f50-9ddd-c68b16dc9ec1: Mama, just killed a man
Put a gun against his head, pulled my trigger, now he's dead
Mama, life had just begun
But now I've gone and thrown it all away
Mama, ooh, didn't mean to make you cry
If I'm not back again this time tomorrow
Carry on, carry on as if nothing really matters",crime,0.6395666599273682,0.4865266680717468,0.044515497982501984,0.09713364392518997,0.6200098395347595,0.6664547920227051,0.4013090431690216
9e24db17-ddd3-4272-9115-dddd9b5bc59e,6 God,,,What do you kmow about pain,2025-08-29 15:59:02.61142+02,0,0,1,,0,9e24db17-ddd3-4272-9115-dddd9b5bc59e: nan,9e24db17-ddd3-4272-9115-dddd9b5bc59e: What do you kmow about pain,mystery,0.02666849084198475,0.04602104052901268,0.14572639763355255,0.0027025279123336077,0.5698957443237305,0.17730183899402618,0.031683944165706635
42ba302a-c600-4d91-ae4e-d33958e16f24,6 God,,content_images/https___images.genius.com_d309c2514750e66a756e539ee74119df.600x620x1.jpg,"The first track off Kanye West’s album 808s & Heartbreak. Sung primarily in autotune, and seen as a departure from old school Ye.

Kanye has explained in concert that this song is “about an ex-girlfriend you call on Friday nights just to have sex” and she “says she’ll come over but you wait all night and she still doesn’t come knocking on your door”

This song is highly criticised because of the prominent use of the auto-tune effect. This song (and album) was groundbreaking for Kanye West as an artist. As he demonstrated something totally different to what he usually did, people became worried that Kanye West pandered to the mainstream music audience in producing and writing this album.

On October 19th, 2015, Kanye released a remastered version, featuring violinist Caroline Shaw.",2025-08-29 16:00:49.881344+02,0,0,1,,0,42ba302a-c600-4d91-ae4e-d33958e16f24: nan,"42ba302a-c600-4d91-ae4e-d33958e16f24: The first track off Kanye West’s album 808s & Heartbreak. Sung primarily in autotune, and seen as a departure from old school Ye.

Kanye has explained in concert that this song is “about an ex-girlfriend you call on Friday nights just to have sex” and she “says she’ll come over but you wait all night and she still doesn’t come knocking on your door”

This song is highly criticised because of the prominent use of the auto-tune effect. This song (and album) was groundbreaking for Kanye West as an artist. As he demonstrated something totally different to what he usually did, people became worried that Kanye West pandered to the mainstream music audience in producing and writing this album.

On October 19th, 2015, Kanye released a remastered version, featuring violinist Caroline Shaw.",historic,0.36125481128692627,0.4874332845211029,0.7979729771614075,0.4198929965496063,0.7669533491134644,0.3975595235824585,0.258138507604599
1b3a340a-4d1f-4504-a397-89a986dd076c,6 God,,content_images/https___images_9obba1G.genius.com_718de9d1fbcaae9f3c9b1bf483bfa8f1.1000x1000x1.png,"Kanye’s intro to his third album, Graduation, is a wake-up call to himself and the world. It also gives Kanye a chance to show off his polished lyrical abilities.

The song is part of a larger metaphor: The album Graduation is Kanye’s “graduation” in the rap game. “Good Morning” is told as if Kanye is waking up on his Graduation Day, reminiscing about his college days and finally receiving his “rapping degree” in the third verse. The school/college theme is very present throughout the song.

Kanye samples Jay-Z’s “The Ruler’s Back” and Elton John’s “Someone Saved My Life Tonight” (both artists have been featured on one of Kanye’s songs).

On a side note, as if writing and producing this track wasn’t enough, Ye also developed a creative storyline for a video – despite the song never being released as an actual single.

The music video for “Good Morning” is essentially the result of Japanese pop artist Takashi Murakami bringing to life the various designs he had composed for Graduation’s album artwork through the use of cel-shaded animation.",2025-08-29 16:00:14.192628+02,0,0,1,,0,1b3a340a-4d1f-4504-a397-89a986dd076c: nan,"1b3a340a-4d1f-4504-a397-89a986dd076c: Kanye’s intro to his third album, Graduation, is a wake-up call to himself and the world. It also gives Kanye a chance to show off his polished lyrical abilities.

The song is part of a larger metaphor: The album Graduation is Kanye’s “graduation” in the rap game. “Good Morning” is told as if Kanye is waking up on his Graduation Day, reminiscing about his college days and finally receiving his “rapping degree” in the third verse. The school/college theme is very present throughout the song.

Kanye samples Jay-Z’s “The Ruler’s Back” and Elton John’s “Someone Saved My Life Tonight” (both artists have been featured on one of Kanye’s songs).

On a side note, as if writing and producing this track wasn’t enough, Ye also developed a creative storyline for a video – despite the song never being released as an actual single.

The music video for “Good Morning” is essentially the result of Japanese pop artist Takashi Murakami bringing to life the various designs he had composed for Graduation’s album artwork through the use of cel-shaded animation.",arts,0.06413363665342331,0.10400672256946564,0.461454302072525,0.5097057223320007,0.9272075295448303,0.11169015616178513,0.07876548916101456
5eb1effb-24c3-4e11-a812-2eaac3cc33c1,6 God,,content_images/https___images_gw4J9ar.genius.com_56db93b634f5aa512f2705df1f12265a.1000x1000x1.png,"In “Flashing Lights”, Kanye is found reminiscing about a flighty, capricious ex-girlfriend he can’t stop thinking about.

Similar to “Homecoming”, Kanye uses this girl as a metaphor for his public audience, to whose chaotic whims he’s forced to cater to.

There is also a video filmed during a studio session for Kanye’s 2010 magnum opus “My Beautiful Dark Twisted Fantasy” with Ye and longtime collaborator Charlie Wilson when they jam to the Flashing Lights instrumental. They sang the song with a new hook that goes:

Hey everybody, tonight’s the night
I’ve been waiting my whole life
Who would have known what it was like?
Running from these flashing lights

The song was later given to K-Pop group JYJ for their song Ayy Girl, which also featured Malik Yusef.",2025-08-29 15:58:19.00851+02,0,0,1,,0,5eb1effb-24c3-4e11-a812-2eaac3cc33c1: nan,"5eb1effb-24c3-4e11-a812-2eaac3cc33c1: In “Flashing Lights”, Kanye is found reminiscing about a flighty, capricious ex-girlfriend he can’t stop thinking about.

Similar to “Homecoming”, Kanye uses this girl as a metaphor for his public audience, to whose chaotic whims he’s forced to cater to.

There is also a video filmed during a studio session for Kanye’s 2010 magnum opus “My Beautiful Dark Twisted Fantasy” with Ye and longtime collaborator Charlie Wilson when they jam to the Flashing Lights instrumental. They sang the song with a new hook that goes:

Hey everybody, tonight’s the night
I’ve been waiting my whole life
Who would have known what it was like?
Running from these flashing lights

The song was later given to K-Pop group JYJ for their song Ayy Girl, which also featured Malik Yusef.",drama,0.8081625699996948,0.10400672256946564,0.3237842619419098,0.42192456126213074,0.9255779385566711,0.11169015616178513,0.8977916836738586
acb183c2-0a39-4280-8d30-61628fe76f5c,6 God,,content_images/https___images.genius.com_86c0604ab3c6bdf136408f04dea78810.1000x1000x1.jpg,"She said, ""You're my everything""
""I love you through everything""
I done did everything to her
She forgave me for everything
This a ""forever"" thing
Hate that I treat it like it's a ""whatever"" thing
Trust me, girl, this shit is everything to me",2025-09-04 20:56:01.301558+02,1,0,0,,0,acb183c2-0a39-4280-8d30-61628fe76f5c: nan,"acb183c2-0a39-4280-8d30-61628fe76f5c: She said, ""You're my everything""
""I love you through everything""
I done did everything to her
She forgave me for everything
This a ""forever"" thing
Hate that I treat it like it's a ""whatever"" thing
Trust me, girl, this shit is everything to me",historic,0.6271732449531555,0.3230978846549988,0.2670407295227051,0.691694438457489,0.7831476926803589,0.3073306083679199,0.0918261706829071
92be2e4c-5967-4a9c-b000-b715d7a16f38,6 God,,content_images/https___images_ON7ldEx.genius.com_86c0604ab3c6bdf136408f04dea78810.1000x1000x1.jpg,"Are we still good? Are we still good?
If I need to talk, are you around?
Are you down for the cause?",2025-09-04 20:56:17.249999+02,1,0,0,,0,92be2e4c-5967-4a9c-b000-b715d7a16f38: nan,"92be2e4c-5967-4a9c-b000-b715d7a16f38: Are we still good? Are we still good?
If I need to talk, are you around?
Are you down for the cause?",mystery,0.3687872886657715,0.08839710056781769,0.028828121721744537,0.01790573075413704,0.7510833144187927,0.16978426277637482,0.41529566049575806
